dataset,backbone,model,lambda_dp,lambda_eo,AUC_mean,AUC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
bail,sage,edge_adder,0.0,10.0,0.9168985977567783,0.006344623596545643,0.8364414602871537,0.008377331691367914,0.020679602332690145,0.01716200417023529,0.013874780751925575,0.013058329621081893
bail,sage,edge_adder,0.1,0.0,0.9192026602290364,0.006976111879907949,0.8338118424123421,0.011850911523204836,0.02284755631151996,0.009884425239935617,0.01536185464805918,0.008598505230811886
bail,sage,edge_adder,0.5,0.0,0.9192346207063332,0.005204070073795155,0.8321155935398508,0.013221334712839245,0.030160110049374123,0.011158274387915555,0.020134217951651035,0.013785814221775682
bail,sage,edge_adder,1.0,0.0,0.9202568585404978,0.0066504871252956324,0.8252641434694727,0.013679817981866285,0.02529284434641829,0.016829672315147773,0.017456722336612506,0.01170153286956698
bail,sage,edge_adder,5.0,0.0,0.9090180872768793,0.006730339944809919,0.8246727426887016,0.018073176471925186,0.08268591500288999,0.015731035513023885,0.06970258522077326,0.011680149948170675
bail,sage,edge_adder,10.0,0.0,0.9040091314556147,0.005767495392837732,0.8112516810780566,0.02533579589405907,0.09647418570077038,0.02343103282364482,0.07204453595668421,0.015601054316573548
bail,sgc,vanilla,0.0,0.0,0.8925640376615147,0.0035653063209438803,0.7954776095528661,0.00804428839523399,0.04870955462641588,0.005545707157544703,0.028955235262716372,0.009919019370751469
bail,sgc,edge_adder,0.0,0.1,0.8916971061275343,0.0015571898400913826,0.7989662396569053,0.005926710823363212,0.06931401382590517,0.002676855967124797,0.04221459620224205,0.006722486233109336
bail,sgc,edge_adder,0.0,0.5,0.8939540649211903,0.0011728277028396413,0.8024517934802043,0.006327260677068758,0.06580140933363623,0.0028417689200487856,0.039497445283306655,0.007349380306595306
bail,sgc,edge_adder,0.0,1.0,0.895753035145237,0.0008185455696030528,0.8068640227319813,0.0047769164125277055,0.06203620098173129,0.0035205645171437487,0.03916418821017309,0.007670878663621229
