dataset,encoder,attack_mode,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
pokec_n,gin,degree,0.6987033286004124,0.6725093417268211,0.6690348647476825,0.6243562003189816,0.6102415299845229,0.6082031663072885,0.022133291498229,0.0661552138399489,0.0373338151840884,0.0169771101858676,0.0540263362352331,0.0398219017072733
pokec_n,gin,uncertainty,0.6987033286004124,0.6789140925203301,0.6791219438735151,0.6243562003189816,0.6151636659278716,0.5991110502634172,0.022133291498229,0.0385130421871541,0.0229501032337228,0.0169771101858676,0.0344681953104767,0.0279992828256668
pokec_n,sage,degree,0.7331814165003524,0.7329893277597397,0.7284547426846585,0.6705415825026046,0.6604081992289154,0.6611787492995619,0.0139346382524132,0.0183087412022549,0.0462525364866543,0.0227918003067912,0.0326788453493236,0.0710289459529453
pokec_n,sage,uncertainty,0.7331814165003524,0.7299663813675162,0.7207911755847474,0.6705415825026046,0.6671531195831164,0.6574334194982288,0.0139346382524132,0.0199196728644252,0.0450522985494985,0.0227918003067912,0.0293439847002808,0.0581648305675637
pokec_n,sgc,degree,0.7550988948795091,0.7503078053478697,0.7471757204465495,0.6740779410554911,0.6682072960324982,0.6696972933627594,0.0123154889804654,0.0400079934931471,0.0501193887965964,0.0195103293025479,0.0545749746000757,0.0584110604219375
pokec_n,sgc,uncertainty,0.7550988948795091,0.7494139286884515,0.7488822197730184,0.6740779410554911,0.668825800291462,0.6617047418930248,0.0123154889804654,0.0370927964245926,0.0365612664830777,0.0195103293025479,0.0470482299739028,0.0454329940036257
pokec_z,gat,degree,0.7878080146553699,0.7832212197542172,0.7836077246011756,0.6936801359779244,0.7119502459250269,0.7041468682604184,0.0375466074109146,0.0573327648081092,0.061911186316656,0.0396,0.0461714285714285,0.0499142857142857
pokec_z,gat,uncertainty,0.7878080146553699,0.7846222425769025,0.7825146172047935,0.6936801359779244,0.7062339037225396,0.6940563813986307,0.0375466074109146,0.0577414035219868,0.0605869440065425,0.0396,0.0496,0.0531428571428571
pokec_z,gcn,degree,0.7787202503625676,0.7798512785283565,0.7784781619723684,0.6887748662048212,0.7014915441883085,0.6735089172804368,0.0487311754483188,0.0815936371804735,0.0971108785597839,0.0295714285714285,0.0612571428571428,0.0904857142857143
pokec_z,gcn,uncertainty,0.7787202503625676,0.7823693458514617,0.7788380734295092,0.6887748662048212,0.6956986247886102,0.6857743267473161,0.0487311754483188,0.0754418624671125,0.0844562603235751,0.0295714285714285,0.0595714285714285,0.0729428571428571
pokec_z,gin,degree,0.7185193801999847,0.7029548584077551,0.6925337607816198,0.64653070532858,0.6349169146007891,0.6108831071700254,0.0494612909647532,0.0428384653047169,0.0597541980297103,0.0484571428571428,0.0479142857142857,0.0622571428571428
pokec_z,gin,uncertainty,0.7185193801999847,0.7100210365620944,0.6974108846652927,0.64653070532858,0.631717929593354,0.6289416196952704,0.0494612909647532,0.0576280123317963,0.0627104395220083,0.0484571428571428,0.0682,0.0517142857142856
pokec_z,sage,degree,0.760128967254408,0.7340660102282268,0.7524955346920082,0.6743669287193503,0.5935625785545601,0.6460450576019919,0.0309201500045733,0.0395844206154061,0.0227409192891461,0.0395428571428571,0.0438285714285714,0.0268857142857142
pokec_z,sage,uncertainty,0.760128967254408,0.7338608961148003,0.727269826730784,0.6743669287193503,0.5559006844423771,0.583678520325573,0.0309201500045733,0.042477442820172,0.0190015656861848,0.0395428571428571,0.0451428571428571,0.0259142857142857
pokec_z,sgc,degree,0.7743172276925425,0.7695653156247615,0.7687861995267536,0.7107105934132546,0.7064368605920535,0.7049214083148025,0.0332207940342514,0.0926348184933902,0.0904054642985887,0.0308571428571428,0.0724857142857142,0.0849428571428571
pokec_z,sgc,uncertainty,0.7743172276925425,0.77194180596901,0.7685836806350661,0.7107105934132546,0.7098567143548313,0.6920126491170202,0.0332207940342514,0.0878520776279047,0.0897516154545601,0.0308571428571428,0.0725142857142857,0.0936571428571428
