dataset,encoder,attack_mode,selected,AUC_mean_clean,AUC_mean_attacked,AUC_mean_defended,F1_mean_clean,F1_mean_attacked,F1_mean_defended,DP_mean_clean,DP_mean_attacked,DP_mean_defended,EO_mean_clean,EO_mean_attacked,EO_mean_defended
nba,gat,degree,1,0.6394871794871800,0.6035897435897440,0.621474358974359,0.590631429891868,0.5543148384321670,0.618713930487442,0.1383572567783090,0.1726475279106860,0.114274322169059,0.2133333333333330,0.2566666666666670,0.13
nba,gat,uncertainty,0,0.6394871794871800,0.6505769230769230,0.6156410256410260,0.590631429891868,0.6384537727709340,0.5761720129408530,0.1383572567783090,0.1175438596491230,0.119377990430622,0.2133333333333330,0.1566666666666670,0.2600000000000000
nba,gcn,degree,0,0.6726282051282050,0.6693589743589740,0.6809615384615390,0.6028538914465910,0.597263542207106,0.619540798391445,0.3,0.3893141945773530,0.4290271132376400,0.2800000000000000,0.37,0.39
nba,gcn,uncertainty,1,0.6726282051282050,0.6755128205128210,0.6940384615384620,0.6028538914465910,0.5970617774499750,0.657816397495203,0.3,0.3389154704944180,0.283732057416268,0.2800000000000000,0.2766666666666670,0.18
nba,gin,degree,1,0.6063461538461540,0.5817948717948720,0.6005128205128210,0.57492207270038,0.4946278982425610,0.4998067695341300,0.0854066985645933,0.0814194577352472,0.0728867623604465,0.1566666666666670,0.1166666666666670,0.1300000000000000
nba,gin,uncertainty,0,0.6063461538461540,0.5877564102564100,0.6142948717948720,0.57492207270038,0.5002683927982050,0.5663136110435720,0.0854066985645933,0.0827751196172249,0.0636363636363636,0.1566666666666670,0.1033333333333330,0.1333333333333330
nba,sage,degree,0,0.6378846153846150,0.6311538461538460,0.6392948717948720,0.5751761734175090,0.5323641192231130,0.561819062965746,0.069377990430622,0.0761562998405103,0.0585326953748006,0.0566666666666666,0.1233333333333330,0.0999999999999999
nba,sage,uncertainty,1,0.6378846153846150,0.6315384615384620,0.6501923076923080,0.5751761734175090,0.5538704048582500,0.5734167638462060,0.069377990430622,0.0700956937799043,0.033652312599681,0.0566666666666666,0.0799999999999999,0.0833333333333333
nba,sgc,degree,0,0.6825641025641030,0.6651923076923080,0.6791666666666670,0.5794754751968990,0.5573941537502450,0.6170352353241160,0.2923444976076560,0.3859649122807020,0.4136363636363640,0.1866666666666670,0.2766666666666670,0.3033333333333330
nba,sgc,uncertainty,1,0.6825641025641030,0.6896153846153850,0.6985897435897440,0.5794754751968990,0.603861217183499,0.6560872077984180,0.2923444976076560,0.3038277511961720,0.2486443381180220,0.1866666666666670,0.2033333333333330,0.12
pokec_n,gat,degree,0,0.7556281214937500,0.7522355190822770,0.7505012593541380,0.672946344310918,0.6524701159435800,0.6567236793862000,0.0111038584479363,0.0161517120176006,0.023766728205358,0.0112703946450983,0.0319413510767575,0.0302826862163077
pokec_n,gat,uncertainty,1,0.7556281214937500,0.7509871284408830,0.754445263603838,0.672946344310918,0.6638167652739550,0.6634918992972550,0.0111038584479363,0.0162979481188677,0.0204597939434348,0.0112703946450983,0.0319062892204713,0.0277490686694424
pokec_n,gcn,degree,0,0.7548425145380110,0.7569472163474430,0.7494157076709730,0.6294498512790490,0.6757775859879750,0.6459438933798650,0.0155691021607644,0.0362878441941186,0.0303581850661751,0.0259330238858896,0.0497025718668446,0.0438161643126083
pokec_n,gcn,uncertainty,1,0.7548425145380110,0.7564721866425720,0.7564979198316010,0.6294498512790490,0.6526844048451310,0.6345067696056990,0.0155691021607644,0.0282271160578631,0.0176829888940871,0.0259330238858896,0.0448353487260194,0.0276661951909476
pokec_n,gin,degree,1,0.6987033286004120,0.6725093417268210,0.670756009651187,0.6243562003189820,0.6102415299845230,0.60593430840703,0.022133291498229,0.0661552138399489,0.0467137498354143,0.0169771101858676,0.0540263362352331,0.0504265195131183
pokec_n,gin,uncertainty,0,0.6987033286004120,0.6789140925203300,0.6682254690721820,0.6243562003189820,0.6151636659278720,0.6047386197632180,0.022133291498229,0.0385130421871541,0.0409023122299511,0.0169771101858676,0.0344681953104767,0.0330828535569854
pokec_n,sage,degree,1,0.7331814165003520,0.7329893277597400,0.7261855884212230,0.6705415825026050,0.6604081992289150,0.6622696862681320,0.0139346382524132,0.0183087412022549,0.0457941245957729,0.0227918003067912,0.0326788453493236,0.0611092296352372
pokec_n,sage,uncertainty,0,0.7331814165003520,0.7299663813675160,0.7228686961961220,0.6705415825026050,0.6671531195831160,0.6528933857185300,0.0139346382524132,0.0199196728644252,0.0496677004046239,0.0227918003067912,0.0293439847002808,0.0609052333804809
pokec_n,sgc,degree,1,0.7550988948795090,0.7503078053478700,0.7470214867991220,0.6740779410554910,0.6682072960324980,0.6581252950152930,0.0123154889804654,0.0400079934931471,0.0283513140238179,0.0195103293025479,0.0545749746000757,0.0455497340478514
pokec_n,sgc,uncertainty,0,0.7550988948795090,0.7494139286884520,0.7455400494474400,0.6740779410554910,0.668825800291462,0.6629192510667510,0.0123154889804654,0.0370927964245926,0.0353444999444377,0.0195103293025479,0.0470482299739028,0.0411765643365141
pokec_z,gat,degree,0,0.7878080146553700,0.7832212197542170,0.783425082054805,0.6936801359779240,0.7119502459250270,0.7034252325464670,0.0375466074109146,0.0573327648081092,0.0396717170358493,0.0396,0.0461714285714285,0.0306285714285714
pokec_z,gat,uncertainty,1,0.7878080146553700,0.7846222425769030,0.7833386764369130,0.6936801359779240,0.7062339037225400,0.691768409232804,0.0375466074109146,0.0577414035219868,0.0390313191040616,0.0396,0.0496,0.0303142857142857
pokec_z,gcn,degree,0,0.7787202503625680,0.7798512785283570,0.7763822608961150,0.6887748662048210,0.7014915441883090,0.6925614489805830,0.0487311754483188,0.0815936371804735,0.0876842102431386,0.0295714285714285,0.0612571428571428,0.0769142857142857
pokec_z,gcn,uncertainty,1,0.7787202503625680,0.7823693458514620,0.7773085108007020,0.6887748662048210,0.6956986247886100,0.6855699541177310,0.0487311754483188,0.0754418624671125,0.0745445521115241,0.0295714285714285,0.0595714285714285,0.0694571428571428
pokec_z,gin,degree,1,0.7185193801999850,0.7029548584077550,0.6898535989619110,0.64653070532858,0.6349169146007890,0.6228688438631570,0.0494612909647532,0.0428384653047169,0.0225005514874018,0.0484571428571428,0.0479142857142857,0.0235428571428571
pokec_z,gin,uncertainty,0,0.7185193801999850,0.7100210365620940,0.7026979619876350,0.64653070532858,0.631717929593354,0.6245668609897580,0.0494612909647532,0.0576280123317963,0.0276354372353532,0.0484571428571428,0.0682,0.0288857142857142
pokec_z,sage,degree,0,0.760128967254408,0.7340660102282270,0.7461920769406920,0.6743669287193500,0.5935625785545600,0.6271405621557450,0.0309201500045733,0.0395844206154061,0.022397248481392,0.0395428571428571,0.0438285714285714,0.0135714285714285
pokec_z,sage,uncertainty,1,0.760128967254408,0.7338608961148000,0.7429214869093960,0.6743669287193500,0.5559006844423770,0.6468414765034890,0.0309201500045733,0.042477442820172,0.0117039077590242,0.0395428571428571,0.0451428571428571,0.0135714285714285
pokec_z,sgc,degree,0,0.7743172276925430,0.7695653156247620,0.7670596443019620,0.7107105934132550,0.7064368605920540,0.6982934521561660,0.0332207940342514,0.0926348184933902,0.0781693039421933,0.0308571428571428,0.0724857142857142,0.0788
pokec_z,sgc,uncertainty,1,0.7743172276925430,0.77194180596901,0.7677467674223340,0.7107105934132550,0.7098567143548310,0.7045240475139450,0.0332207940342514,0.0878520776279047,0.0727046018260958,0.0308571428571428,0.0725142857142857,0.0791714285714285
