method,dataset,encoder,model,timestamp,n_seeds,AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name
vanilla_advtrain,bail,gat,vanilla,20260205-124203,10,0.9342070089967643,0.014418080256916531,0.8412887679262674,0.038934547006315844,0.8779826234371688,0.039674356675061265,0.0752618057931923,0.011189648738951766,0.04974300312666822,0.01583166148634858,vanilla_bail_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.036252634794284574
vanilla_advtrain,bail,gcn,vanilla,20260205-125627,10,0.8867462454809548,0.0032648998412222784,0.7868572497562398,0.0073979529403874365,0.8365543547361728,0.008705346613357118,0.08301948509430546,0.006774450868285338,0.0421154579424998,0.009587420793900335,vanilla_bail_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.015423598487653298
vanilla_advtrain,bail,gin,vanilla,20260205-125356,10,0.8375040369115293,0.01563302119181449,0.7068883941184211,0.023851479789535945,0.7479762661580844,0.041981693146348704,0.10879420882062843,0.016549794972671304,0.07126668191870664,0.014951524985704586,vanilla_bail_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03662988795488364
vanilla_advtrain,bail,sage,vanilla,20260205-125448,10,0.9114242300404379,0.0088083456528406,0.8194301573450842,0.014669687028317445,0.8720703538885358,0.013026494206027854,0.02116881450339752,0.01605565685420187,0.01303286814611455,0.0109843376867128,vanilla_bail_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.033946860725703534
vanilla_advtrain,bail,sgc,vanilla,20260205-125542,10,0.9013204335834306,0.008037846872599647,0.8070667765772539,0.012650288602259668,0.853040898495444,0.013342295041622758,0.04263516418262388,0.004584270501437747,0.028215511324639675,0.0055451344061607346,vanilla_bail_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.038482961843717946
vanilla_advtrain,german,gat,vanilla,20260205-135019,10,0.49764190476190473,0.05835292595360527,0.5900122549019607,0.35841287763650526,0.5836,0.17804673543763724,0.009192580469176214,0.02757774140752864,0.008298319327731094,0.02489495798319328,vanilla_german_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0040875779010632
vanilla_advtrain,german,gcn,vanilla,20260205-165751,10,0.5486933333333333,0.03317965685514157,0.5734187104263204,0.23556896704205954,0.5331999999999999,0.10817837122086833,0.06388434260774685,0.04897614291535036,0.05168067226890757,0.0434289990743052,vanilla_german_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.014400076721566254
vanilla_advtrain,german,gin,vanilla,20260205-165115,10,0.6937219047619048,0.018009966905480613,0.6788950839155673,0.13476873994916735,0.6267999999999999,0.08681105920330658,0.1342471358428805,0.06799365077404147,0.10409663865546222,0.055665232629713096,vanilla_german_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0016102038883533546
vanilla_advtrain,german,sage,vanilla,20260205-164556,10,0.7026895238095238,0.03527946174279986,0.7387437349111928,0.0989265728747925,0.6708,0.06907503166846903,0.28674304418985275,0.10905809217738846,0.2206932773109244,0.12990640116384947,vanilla_german_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.008248896555909517
vanilla_advtrain,german,sgc,vanilla,20260205-165313,10,0.5996342857142858,0.01847894098329086,0.6736623419234385,0.00679012945287013,0.5788,0.0078076885183772605,0.11312056737588652,0.042343467055218645,0.09674369747899159,0.035148917258375496,vanilla_german_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.03558271965216747
vanilla_advtrain,nba,gat,vanilla,20260205-140021,10,0.7153846153846154,0.042338760931161665,0.6873574279685875,0.04673148176110112,0.6734177215189874,0.03526174247388386,0.2276714513556619,0.09685647323614477,0.16666666666666669,0.10645812948447543,vanilla_nba_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006118713031011232
vanilla_advtrain,nba,gcn,vanilla,20260205-172442,10,0.7558974358974359,0.01996833456432575,0.7180421399193964,0.03849405391168196,0.7012658227848101,0.02278481012658226,0.4117224880382775,0.06297826379420661,0.22666666666666666,0.06463573143221772,vanilla_nba_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0005602617956493825
vanilla_advtrain,nba,gin,vanilla,20260205-171525,10,0.6029487179487181,0.04049658876389668,0.5356993736273606,0.18961985022198447,0.5658227848101266,0.04904144462736839,0.23724082934609259,0.12410212620594821,0.1866666666666667,0.13515423288475528,vanilla_nba_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0381397720513228
vanilla_advtrain,nba,sage,vanilla,20260205-171300,10,0.644871794871795,0.0163304348754577,0.5808084690479858,0.05659318958589266,0.5924050632911392,0.03872673048298317,0.12854864433811802,0.0844036256895246,0.09,0.05587684871413406,vanilla_nba_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0006778779553232976
vanilla_advtrain,nba,sgc,vanilla,20260205-171952,10,0.7489102564102564,0.017560007944957094,0.6628951590379131,0.029132758819950543,0.6835443037974683,0.02773278772178056,0.3764752791068581,0.07028812360596644,0.34,0.09521904571390465,vanilla_nba_sgc_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.005422777365223869
