dataset,encoder,model,attack_mode,AUC_mean,AUC_std,ACC_mean,ACC_std,F1_mean,F1_std,DP_mean,DP_std,EO_mean,EO_std
german,sgc,fairinv,none,0.6901409523809523,0.0143049703871688,0.7139999999999999,0.0112071405808975,0.8184511306996936,0.0059814542640132,0.2366612111292962,0.0928542196703454,0.1737394957983193,0.0607669656019363
german,sgc,fairinv,uncertainty,0.6747733333333333,0.024993779108096265,0.7116,0.013440238093129166,0.8216493236524591,0.005085197592027461,0.19165302782324062,0.07493773871795636,0.14233193277310924,0.046003726595501795
german,sgc,fairinv,ratio,0.8668930263960046,25.283234207878728,1.0006387549320475,5.349655858252466,1.1435191778203913,1.692633637339279,3.7550446999439036,18.851532463954168,3.152922561429645,9.27447711861254
nba,gat,fairinv,none,0.7493589743589744,0.0439521136826536,0.7151898734177216,0.0471083394074136,0.7539021847374598,0.0497038905992827,0.2136363636363636,0.051607220179325,0.12,0.090921211313239
nba,gat,fairinv,uncertainty,0.7394871794871796,0.0506022246680358,0.6987341772151898,0.04113437166904284,0.7331068352535095,0.050104285594847905,0.2567783094098884,0.08981475701349513,0.15,0.0909822937597079
nba,gat,fairinv,ratio,0.9646491181242681,16.551371915725888,0.9911123081066524,14.344519743750576,1.0946031999058945,12.283870205720389,38.81326327189668,16.132008153886623,3.647189607068126,7.815799863881358
nba,gcn,fairinv,none,0.750448717948718,0.0212218216312003,0.669620253164557,0.0207610372998186,0.6891434154634521,0.0153941574330167,0.1649920255183413,0.0546952367689622,0.0533333333333333,0.0305505046330389
nba,gcn,fairinv,uncertainty,0.765576923076923,0.02338303033876915,0.6911392405063291,0.024804959420589127,0.709399791278662,0.03477756381698043,0.23181818181818184,0.04792663476874001,0.10333333333333336,0.05666666666666668
nba,gcn,fairinv,ratio,1.0155493445372517,2.554362603528619,0.9912682242088299,3.533671020826102,1.0827691421360714,2.561473011553246,25.814731782022516,4.909083587598863,4.8399053235297815,4.07510720475898
nba,gin,fairinv,none,0.6217948717948718,0.0246507491687881,0.5544303797468355,0.0298476610697508,0.6229225364023989,0.0238808372715291,0.2440191387559808,0.0311638009102455,0.2533333333333333,0.0618241233033046
nba,gin,fairinv,uncertainty,0.6155128205128205,0.03589148302290069,0.5443037974683544,0.041982592282979736,0.6111723680680103,0.02790553958310487,0.20765550239234448,0.06681283244852311,0.21333333333333337,0.04760952285695236
nba,gin,fairinv,ratio,0.8563851098237494,0.8599587746304317,0.8492081089499891,0.6970369010225593,0.9446673617738272,1.3807713873327288,10.20791374992047,3.902518075752055,5.351938294434183,2.969282755796699
nba,sage,fairinv,none,0.6563461538461539,0.0454391331978562,0.5835443037974682,0.0447356887267652,0.6699832612292663,0.0416991985273148,0.0598086124401914,0.0740940499796275,0.0733333333333333,0.0742368581710669
nba,sage,fairinv,uncertainty,0.6794230769230769,0.020973297101826865,0.5784810126582278,0.06176644505699165,0.678080739422753,0.05583324731851922,0.10877192982456144,0.10691826245441813,0.06,0.09521904571390466
nba,sage,fairinv,ratio,0.8809218173069079,10.525419733947475,0.8267772544975646,13.82497154756642,1.0186056419835834,8.542823994729227,3.0838252455729354,9.950550411203844,5.192435004482472,9.281359876298918
nba,sgc,fairinv,none,0.7328846153846154,0.0043481199697722,0.679746835443038,0.0127213615457226,0.6690351176715823,0.0134447574501931,0.2164274322169059,0.0193837325193398,0.0799999999999999,0.0305505046330389
nba,sgc,fairinv,uncertainty,0.7503846153846153,0.028059355234459123,0.6835443037974684,0.02192469376669465,0.6922343652178303,0.0325673689991256,0.16754385964912283,0.06264964127509208,0.053333333333333344,0.030550504633038936
nba,sgc,fairinv,ratio,1.0045473924093058,3.5753312267151647,0.9723247564686607,2.742003410887947,1.0462362604525373,4.008257242421347,10.910840460126257,8.2444771201002,0.9744530506862353,3.6460670870532548
pokec_n,gat,fairinv,none,0.753854972380262,0.0091541546632681,0.6972272727272727,0.0070196006573329,0.6551717847067273,0.0135771736263158,0.0089800732301089,0.0097628475689048,0.021350279897205,0.0139055646439167
pokec_n,gat,fairinv,uncertainty,0.7382038978748192,0.011028239519400249,0.6666818181818182,0.01236839814718431,0.6611967969554688,0.01608623240586803,0.02873987623159092,0.021493799761651614,0.02267984142478635,0.017994496761748805
pokec_n,gat,fairinv,ratio,0.983683335341862,0.5196650745186994,0.9956117889671764,0.5957504901401232,0.9594473111388736,1.0449569894203496,0.17418948668156123,0.3929738864179972,0.42524702671474435,0.5890081678810838
pokec_n,gcn,fairinv,none,0.7665866951965816,0.0030572827996184,0.7049999999999998,0.0028676018719249,0.669746658256194,0.0040788680404255,0.0066157361624322,0.0055674877025063,0.0411275574237504,0.0116408167230789
pokec_n,gcn,fairinv,uncertainty,0.7590683013447453,0.0028568152732376113,0.6822272727272728,0.009675414015102217,0.6806893939865403,0.0051889813346975245,0.01947694913766456,0.014718824959511575,0.023465545749746,0.019699935852718203
pokec_n,gcn,fairinv,ratio,1.0129568435396088,0.06499835921122261,0.9539106999195495,0.20538643766287298,0.9028882098591937,0.10439789063056583,0.09116869809119584,0.2852086376357133,0.19554621458121665,0.21667040691801367
pokec_n,gin,fairinv,none,0.7187336788696592,0.0417362832751199,0.6409545454545456,0.0602300856976021,0.6469709792030875,0.0202101085227517,0.0203425996221767,0.0171204415076662,0.0398609478654102,0.0160340145323001
pokec_n,gin,fairinv,uncertainty,0.7189690837660812,0.01008335468102576,0.6300909090909091,0.05134062235824798,0.647181730715426,0.0180168597380063,0.02430171327825666,0.023411619444635347,0.029220072912723882,0.012252514504916821
pokec_n,gin,fairinv,ratio,1.1562801759536976,0.4090486099218819,1.1364653383146532,1.720088627322269,1.038944159017159,0.7544484112157209,0.09958937402265967,0.7512440318837513,0.11534239307654165,0.19818339266708057
pokec_n,sage,fairinv,none,0.7712637643601123,0.0019926328480927,0.6996818181818182,0.0044677448227996,0.6656950555489674,0.006535689761719,0.0352717554215213,0.0107449596289702,0.0115552722274239,0.0102591696672659
pokec_n,sage,fairinv,uncertainty,0.7586561566034178,0.006111432225216054,0.6818181818181819,0.0064121527180299506,0.667542542612762,0.006180329264461362,0.017544970402597497,0.01345068985408379,0.019773293224694677,0.01074611942688822
pokec_n,sage,fairinv,ratio,1.1558781172979116,0.1344971128433495,1.1684085979096828,0.14333416787643158,0.996357045380468,0.14821218351266333,0.29335190513143006,0.18153535753251604,0.26963581670038206,0.144754501896154
pokec_n,sgc,fairinv,none,0.7469877688745907,0.0078480435672078,0.703,0.0079958667008349,0.6616424906917415,0.0081250695824732,0.0153557244523383,0.007598982975203,0.0547315576628085,0.0083790297610047
pokec_n,sgc,fairinv,uncertainty,0.7388055663121941,0.003950230947147291,0.6929545454545454,0.006537400347675288,0.6490978860165215,0.007490013436542875,0.04045071721990791,0.0372886721355029,0.037038866864553655,0.03607274990196993
pokec_n,sgc,fairinv,ratio,1.0080789674162711,0.908491710120465,1.0194303368884372,0.5138915613850632,0.9702000221984646,0.557095467455629,0.18690198744939024,1.92370958989961,0.4629858358069212,1.1807579067927731
pokec_z,gat,fairinv,none,0.7806957026181207,0.0056450574912119,0.7078332034294623,0.0041720989898943,0.7122964215765692,0.0068952429711505,0.0439602713856053,0.0090781245869865,0.0369714285714285,0.0098131107635215
pokec_z,gat,fairinv,uncertainty,0.779397786428517,0.00706426053965204,0.696024941543258,0.008743794730739326,0.7232616207033312,0.008123494389414811,0.061105207655183166,0.03613391600971085,0.05205714285714287,0.02460389881166585
pokec_z,gat,fairinv,ratio,1.4314234265788306,0.09617859044033845,0.9943213450617973,inf,0.8782462537111879,inf,inf,inf,inf,inf
pokec_z,gcn,fairinv,none,0.6476180444240897,0.109179353338311,0.6021434138737334,0.0756830488619414,0.6452676871951034,0.1412240198977139,0.0252255717982793,0.0249399278735951,0.0210571428571428,0.0223420715974438
pokec_z,gcn,fairinv,uncertainty,0.6984454927104802,0.055530160538698095,0.59294621979735,0.05805244707465623,0.69740240512113,0.010500140724428002,0.04927943463125671,0.04289104048685749,0.044285714285714296,0.03822852872088156
pokec_z,gcn,fairinv,ratio,1.4059317963629059,0.9717501171029036,0.8470660282819286,inf,0.8468457776470866,inf,inf,inf,inf,inf
pokec_z,gin,fairinv,none,0.7449497290283184,0.0122603622772882,0.6599376461418551,0.0261561242917064,0.6866914292682773,0.0278079059962619,0.0379664103819521,0.0178546101527997,0.0316571428571428,0.0130604872240897
pokec_z,gin,fairinv,uncertainty,0.7445820319059615,0.007877981620692238,0.6245908028059236,0.031887389230246095,0.7060264829459643,0.008747097861110813,0.03612941929721676,0.027904832984179277,0.028342857142857135,0.025693896678600794
pokec_z,gin,fairinv,ratio,1.0929285447695345,0.48994013840438333,0.8757582765085862,1.3709966268432667,0.8583794715830665,0.3382168192336537,1.6362007553254698,1.3536944738472292,1.1731478260869572,1.163734919156547
pokec_z,sage,fairinv,none,0.7854919166475842,0.0034134055257315,0.7105222135619641,0.0034760877819139,0.7045616733914601,0.0117055562098917,0.0569912461463136,0.0109244086857305,0.0519428571428571,0.0122696240149968
pokec_z,sage,fairinv,uncertainty,0.7819387832989848,0.004271506746329921,0.6833982852689011,0.005544871835333552,0.7339169449254125,0.004155934203758195,0.04442930469544445,0.02119611491550711,0.037,0.015828287774663177
pokec_z,sage,fairinv,ratio,1.0855895545494063,0.20593094372564266,0.9550003986429585,0.4162610236389206,0.8883640706505253,0.7652373252318636,0.6169614811117403,0.3333853105240128,0.9418181818181838,0.42999621175734204
pokec_z,sgc,fairinv,none,0.7783813144034807,0.0009885515002787,0.7111457521434138,0.0025123556447834,0.7185269294902135,0.0030043108442658,0.0510388139523622,0.0039751536837254,0.045142857142857,0.0049602501582735
pokec_z,sgc,fairinv,uncertainty,0.7724897946721624,0.00227831406695498,0.6883865939204987,0.007378219687943171,0.7195231305392238,0.004834442601166498,0.07795691403791007,0.011001943685577772,0.06645714285714287,0.016186767082139286
pokec_z,sgc,fairinv,ratio,1.119321773337911,0.15926730397139238,0.964126882241595,0.6583498827987667,0.8791277860708724,0.8082386636728832,0.3294030046830087,0.1184862004617269,0.382510278113664,0.2663744506871264
