AUC_mean,AUC_std,F1_mean,F1_std,ACC_mean,ACC_std,DP_mean,DP_std,EO_mean,EO_std,name,dataset,encoder,attack_mode
0.7514150064880544,0.007763515946008245,0.6926355092397849,0.013495271068234536,0.684099766173032,0.010141790813911828,0.049170078714738434,0.018954116233226338,0.05214285714285714,0.024716267468026402,edge_adder_pokec_z_gat_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.0010929204433570861,pokec_z,gat,EA Defense
0.7817367529196245,0.0022469148841669,0.7056386232030379,0.0136371765123155,0.7140685892439594,0.0026261474027796,0.0444471944087248,0.0063767735710047,0.0246285714285714,0.0082192407415373,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.011782659818013594,pokec_z,gcn,no_attack
0.7409483856194183,0.0054138686012911,0.6692898790851028,0.0248087191045503,0.6777474668745128,0.0085193668444601,0.3925873367731799,0.0552811111431917,0.3292285714285715,0.041180746442373,vanilla_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.011782659818013594,pokec_z,gcn,tuned_nifa
0.7582501488435998,0.00523530001338531,0.6808742727213895,0.029890538056022264,0.686282151208106,0.007560807053953409,0.020510354512243034,0.01405278106665038,0.01605714285714286,0.012421048626407995,edge_adder_pokec_z_gcn_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.001158493945903404,pokec_z,gcn,EA Defense
0.7358461796809403,0.0063708933672544,0.6403633284546284,0.0390102573413283,0.6655494933749025,0.0078559520460701,0.0363088544665099,0.0280143761394954,0.0391999999999999,0.0255390217638237,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04606907413160195,pokec_z,gin,no_attack
0.660061002976872,0.0142474163564609,0.5993954552278841,0.0352362472298201,0.6243569758378799,0.0130985430006825,0.4222102808012439,0.0573698673654614,0.3987428571428571,0.0509825420299609,vanilla_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04606907413160195,pokec_z,gin,tuned_nifa
0.7207830852606671,0.008284980260949636,0.6626745996665195,0.01194791790237529,0.6613016367887763,0.008861891275688916,0.01858230075163697,0.013304015526337637,0.022857142857142864,0.015118578920369104,edge_adder_pokec_z_gin_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00017298223341566927,pokec_z,gin,EA Defense
0.7512699183268452,0.0361804989802084,0.6795441860985235,0.0954297638087242,0.6383865939204989,0.0508920544773555,0.0231577630594906,0.0118466414835758,0.0278571428571428,0.0154027561806055,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04962229670358684,pokec_z,sage,no_attack
0.7001064346233112,0.0198345257860575,0.601734644920043,0.0592917229485646,0.6409976617303196,0.0316611845919659,0.3081379364148476,0.0642576602922857,0.3094857142857142,0.0790889759855884,vanilla_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.04962229670358684,pokec_z,sage,tuned_nifa
0.7586060300740401,0.0035825610408235535,0.7102722331192952,0.005549763986195479,0.6823460639127046,0.00553459097983382,0.03630562624757209,0.02463570419167557,0.03202857142857144,0.02095688479732051,edge_adder_pokec_z_sage_alpha:0.5_lr_sp:0.5_env_num:2_lr:0.00012450384838169962,pokec_z,sage,EA Defense
